iter	Passed	Remaining
0	145	145175
1	148	74232
2	152	50559
3	158	39498
4	163	32511
5	166	27581
6	169	24058
7	173	21568
8	177	19520
9	180	17836
10	184	16548
11	189	15593
12	193	14701
13	195	13801
14	198	13025
15	201	12368
16	204	11812
17	207	11295
18	209	10823
19	214	10491
20	217	10125
21	221	9827
22	225	9580
23	228	9297
24	233	9106
25	236	8845
26	238	8594
27	240	8359
28	243	8143
29	246	7959
30	249	7794
31	251	7614
32	254	7444
33	256	7285
34	258	7138
35	262	7036
36	265	6900
37	267	6771
38	269	6651
39	272	6534
40	274	6425
41	277	6335
42	280	6235
43	282	6137
44	284	6043
45	287	5957
46	290	5883
47	292	5804
48	295	5725
49	297	5649
50	299	5575
51	301	5504
52	304	5443
53	307	5381
54	309	5319
55	311	5257
56	314	5198
57	316	5143
58	319	5098
59	321	5044
60	324	4991
61	326	4940
62	328	4892
63	331	4848
64	333	4802
65	336	4762
66	338	4717
67	341	4673
68	343	4631
69	345	4592
70	348	4554
71	351	4524
72	353	4486
73	355	4448
74	357	4413
75	360	4380
76	362	4346
77	365	4321
78	367	4288
79	370	4255
80	372	4223
81	375	4207
82	378	4185
83	381	4165
84	384	4141
85	387	4116
86	390	4094
87	393	4075
88	398	4074
89	400	4053
90	404	4042
91	407	4024
92	411	4010
93	414	3998
94	418	3984
95	420	3960
96	423	3938
97	426	3925
98	429	3907
99	431	3886
100	434	3864
101	436	3841
102	438	3820
103	441	3803
104	443	3782
105	446	3762
106	448	3741
107	450	3722
108	452	3702
109	456	3696
110	459	3677
111	461	3658
112	463	3640
113	465	3621
114	468	3603
115	471	3591
116	473	3574
117	475	3556
118	478	3539
119	480	3523
120	482	3507
121	486	3501
122	489	3488
123	492	3475
124	494	3462
125	497	3448
126	500	3437
127	502	3422
128	504	3407
129	507	3393
130	509	3377
131	511	3363
132	513	3349
133	516	3339
134	518	3325
135	521	3311
136	523	3298
137	526	3285
138	528	3273
139	531	3263
140	533	3250
141	535	3238
142	538	3225
143	540	3213
144	543	3201
145	546	3193
146	548	3181
147	550	3169
148	552	3157
149	555	3146
150	557	3135
151	560	3126
152	562	3115
153	565	3105
154	567	3093
155	569	3082
156	573	3078
157	576	3071
158	578	3062
159	581	3054
160	584	3045
161	587	3036
162	590	3029
163	594	3029
164	598	3030
165	601	3021
166	605	3017
167	608	3015
168	611	3007
169	614	2998
170	617	2995
171	621	2994
172	624	2984
173	626	2974
174	628	2964
175	631	2955
176	634	2948
177	637	2944
178	640	2935
179	642	2926
180	644	2916
181	647	2908
182	649	2901
183	652	2893
184	654	2884
185	657	2876
186	659	2867
187	661	2858
188	664	2852
189	667	2844
190	669	2835
191	671	2827
192	674	2819
193	676	2810
194	679	2803
195	681	2796
196	684	2788
197	686	2780
198	688	2772
199	691	2764
200	693	2756
201	696	2750
202	698	2743
203	700	2734
204	703	2727
205	705	2719
206	707	2712
207	711	2707
208	713	2700
209	715	2692
210	718	2685
211	720	2679
212	723	2672
213	725	2666
214	728	2658
215	730	2651
216	732	2644
217	735	2637
218	737	2630
219	740	2625
220	742	2618
221	745	2611
222	747	2604
223	749	2597
